Country,Sports(in Bilion dollar),Sports(in Bilion euro),Sports(in Milion euro),No. of Sports Popular Worldwide,No. of  Popular Sport Bet Online,After Includeing Horse racing,Link 1,Link 2,Link 3,
Japan,3.510143,2.9497,2949.7,4,3,2,https://www.asiabet.org/japan/,https://en.wikipedia.org/wiki/Sport_in_Japan,,
Hong Kong,2.00039,1.681,1681,3,1,2,https://www.sbo.net/country/hong-kong/,https://en.wikipedia.org/wiki/Sport_in_Hong_Kong,,
UK,1.973853,1.6587,1658.7,4,5,6,http://www.oddsshark.com/uk,https://en.wikipedia.org/wiki/Sport_in_England,,
United States,1.512609,1.2711,1271.1,4,4,5,http://www.oddsshark.com/usa,https://en.wikipedia.org/wiki/Sports_in_the_United_States,,
China,1.393252,1.1708,1170.8,6,2,2,https://www.asiabet.org/china/,,,
Australia,1.175244,0.9876,987.6,3,4,5,http://www.oddsshark.com/australia,,,
France,0.685083,0.5757,575.7,2,1,2,https://www.bookmakers.bet/9602/betting-sites-france/,,,
Sweden,0.514318,0.4322,432.2,3,1,1,http://www.onlinebettingsites.com/countries/sweden/,,,
Germany,0.468622,0.3938,393.8,4,4,,https://www.interwetten.com/en/sportsbook/default.aspx,https://www.movingto-germany.com/top-10-sports-in-germany/,http://www.gamingzion.com/sportsbook/germany,
South Korea,0.323918,0.2722,272.2,1,1,,https://www.bet365.com/#/HO/,https://www.asiabet.org/korea/,https://en.wikipedia.org/wiki/Sport_in_South_Korea,
Italy,0.312613,0.2627,262.7,3,2,,https://www.sbo.net/country/italy/,,,
Spain,0.285005,0.2395,239.5,3,4,,https://www.sbo.net/country/spain/,https://en.wikipedia.org/wiki/Sport_in_Spain,,
Canada,0.248234,0.2086,208.6,2,2,,http://www.oddsshark.com/canada,https://en.wikipedia.org/wiki/Sport_in_Canada#Professional_sports,,
Singapore,0.24276,0.204,204,2,4,,https://www.asiabet.org/singapore/,https://sports.intertops.eu/en/,https://en.wikipedia.org/wiki/Sport_in_Singapore,
Norway,0.24276,0.204,204,0,1,,https://www.norsk-tipping.no/sport,https://en.wikipedia.org/wiki/Football_in_Norway,,
Ireland,0.234787,0.1973,197.3,0,6,,https://en.wikipedia.org/wiki/Sport_in_Ireland,http://www.gamingzion.com/sportsbook/ireland,http://www.paddypower.com/bet,http://www.boylesports.com/
Czech Rep,0.195874,0.1646,164.6,2,2,,https://www.sbo.net/country/betting-online-czech-republic/,https://en.wikipedia.org/wiki/Sport_in_the_Czech_Republic,,
Malaysia,0.1904,0.16,160,3,3,4,https://www.asiabet.org/malaysia/,http://www.topendsports.com/world/countries/malaysia.htm,,
Russia,0.172907,0.1453,145.3,4,3,,http://www.gamingzion.com/sportsbook/russian-federation,https://www.ligastavok.ru/,https://en.wikipedia.org/wiki/Sport_in_Russia,
Austria,0.164339,0.1381,138.1,1,1,,https://www.sbo.net/country/austria/,https://en.wikipedia.org/wiki/Sport_in_Austria,,
